point_index,pokemon1_name,pokemon_avg_edge_weight
0,bulbasaur,-0.13972624983304976
1,caterpie,-1.3939085622284744
2,voltorb,-0.40133638691823065
3,electrode,0.1591462431876182
4,exeggcute,-0.3951072557467925
5,exeggutor,0.9856804238140591
6,cubone,-0.30492100145633555
7,marowak,0.24929406420300754
8,hitmonlee,0.4527458819553431
9,hitmonchan,0.48474046959912653
10,lickitung,0.1911411521982758
11,koffing,-0.36438032784924484
12,metapod,-1.126668830630002
13,weezing,0.20396104070074433
14,rhyhorn,-0.9242846219233395
15,rhydon,0.2449097913724504
16,chansey,-0.5288270387510827
17,tangela,0.18167288955708621
18,kangaskhan,0.6065719266662847
19,horsea,-0.8428463183272934
20,seadra,0.036437622001293815
21,goldeen,-0.33631953673605697
22,seaking,0.2634317773467781
23,butterfree,-0.02655507106037271
24,staryu,-0.2616401884067508
25,starmie,0.5825151561330644
26,mr-mime,0.3950666782106337
27,scyther,0.1939331042438846
28,jynx,0.29981797538113775
29,electabuzz,0.33133137895677933
30,magmar,0.3038129298766086
31,pinsir,0.5235242164446142
32,tauros,0.4512381152047965
33,magikarp,-1.7690622428494076
34,weedle,-1.637336553741874
35,gyarados,0.6085752832252506
36,lapras,0.6542664103543748
37,ditto,-1.0090528683600184
38,eevee,-0.21375797612379424
39,vaporeon,0.5881022359643834
40,jolteon,0.38211576121990826
41,flareon,0.5175844188057898
42,porygon,0.2027870405703756
43,omanyte,-0.5359973022154751
44,omastar,0.21813892041251243
45,kakuna,-1.3014623492627404
46,kabuto,-0.8136862596911801
47,kabutops,0.26791793106046863
48,aerodactyl,0.42114901630606155
49,snorlax,0.8885709227307709
50,articuno,0.5776557883818811
51,zapdos,0.901202926769819
52,moltres,0.8438935048293446
53,dratini,-0.3737418724506395
54,dragonair,0.14781530389703973
55,dragonite,0.8720546079835978
56,beedrill,-0.09059862324433168
57,mewtwo,1.448795268536781
58,mew,1.1057779959559897
59,pidgey,-0.7299285798022868
60,pidgeotto,-0.217303592856462
61,pidgeot,0.21064705015199964
62,rattata,-0.7892383786510448
63,ivysaur,0.27951710373354177
64,raticate,0.1617622087771595
65,spearow,-0.8133385801047082
66,fearow,0.1369092669887841
67,ekans,-0.45129268812759693
68,arbok,0.3651345902143652
69,pikachu,-0.45274478365883725
70,raichu,0.29029655958097234
71,sandshrew,-0.4621067586338672
72,sandslash,0.35785492928430523
73,nidoran-f,-0.525457553214386
74,venusaur,0.8155474851381653
75,nidorina,-0.10360155143762081
76,nidoqueen,0.5822748810534809
77,nidoran-m,-0.6621201501488764
78,nidorino,-0.1814610584169521
79,nidoking,0.6021187379602326
80,clefairy,-0.11649093985408299
81,clefable,0.5172400333939736
82,vulpix,-0.5712472812413598
83,ninetales,0.4038943926523991
84,jigglypuff,-0.43926542558031506
85,charmander,-0.5748158419927519
86,wigglytuff,0.427480147200196
87,zubat,-0.6743352621413982
88,golbat,0.4059924455672942
89,oddish,0.012303578049947195
90,gloom,0.3706533177291721
91,vileplume,0.8075464756681919
92,paras,-0.9031218305966388
93,parasect,0.03559439216725721
94,venonat,-0.25186209412754035
95,venomoth,0.3652757290388618
96,charmeleon,-0.03703563067254943
97,diglett,-1.5317896742004822
98,dugtrio,-0.04381761132074184
99,meowth,-0.6913979596080166
100,persian,0.12673823590521743
101,psyduck,-0.186864744562086
102,golduck,0.49198745318365467
103,mankey,-0.37616629375979577
104,primeape,0.4121297153486581
105,growlithe,-0.14878505203947842
106,arcanine,0.7675810982419248
107,charizard,0.47603309398480803
108,poliwag,-0.6584581176246428
109,poliwhirl,-0.08411424021734175
110,poliwrath,0.6100667752240094
111,abra,-1.0273735625386038
112,kadabra,0.00998650364128899
113,alakazam,0.5743014661404918
114,machop,-0.1330101326418072
115,machoke,0.3868181638645226
116,machamp,0.829321991769059
117,bellsprout,-0.4233392181299451
118,squirtle,-0.019857803587567904
119,weepinbell,0.18994597895488266
120,victreebel,0.6704634219544896
121,tentacool,-0.5265720792880889
122,tentacruel,0.40869672667351886
123,geodude,-1.6292676432716728
124,graveler,-0.7030644735226714
125,golem,0.13845168681009762
126,ponyta,-0.024101654504767787
127,rapidash,0.3522017811860244
128,slowpoke,-0.09630875656338671
129,wartortle,0.36960006812647356
130,slowbro,0.7788486052845226
131,magnemite,-0.5226175426231966
132,magneton,0.2382275134253574
133,farfetchd,0.2963847681115878
134,doduo,-0.4104317318688325
135,dodrio,0.36608240101868483
136,seel,-0.17252420203605387
137,dewgong,0.27583251460086955
138,grimer,-0.03355274718190377
139,muk,0.5612429801205027
140,blastoise,0.8173723002001457
141,shellder,-0.8847070362562901
142,cloyster,0.10216721286744623
143,gastly,-0.5328263424550302
144,haunter,0.1835747117354805
145,gengar,0.6470900263917866
146,onix,-1.5542646356074963
147,drowzee,-0.13394959982012367
148,hypno,0.513812078445813
149,krabby,-0.6103445852823567
150,kingler,0.37711408795859214
